concept_id,concept_name,industry,problem_area,n_demo_sessions,n_sandbox_trials,n_commercial_signals,demand_intensity,repeatability,engagement_depth,segment_similarity,segment_diversity,revenue_potential,feasibility,strategic_fit_score,avg_objections,avg_objection_themes,confidence_score,cluster,cluster_label,readiness_score,recommended_outcome,top_positive_factor,top_positive_value,weakest_factor,weakest_value,ai_insight,insight_source
C011,PrismAI,Logistics,Risk Scoring,5,4,5,0.3986,0.655,0.618,0.6,0.75,0.3571,0.5579,0.55,1.2,1.0,96.1,0,Promising Pattern,49.9,Incubate,repeatability,0.655,revenue potential,0.357,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 49.9/100 with confidence at only 96.1% — repeatability is the strongest available signal, but revenue potential needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C012,FluxAI,Manufacturing,Process Automation,6,6,5,0.5672,0.52,0.4368,0.5,0.75,0.3983,0.8615,0.2,1.67,1.17,100.0,0,Promising Pattern,47.6,Incubate,demand intensity,0.567,strategic fit score,0.2,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 47.6/100 with confidence at only 100.0% — demand intensity is the strongest available signal, but strategic fit score needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C013,SentryML,Retail,Quality Control,4,3,4,0.9172,0.4689,0.6241,0.75,0.5,0.5598,0.9102,0.55,0.5,1.0,71.9,1,Strong Behavioral Pattern,68.6,Customer Pilot,demand intensity,0.917,engagement depth,0.624,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 68.6/100 (confidence: 71.9%), the strongest signal is demand intensity, while engagement depth remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
C014,HarborML,Healthcare,Fraud Detection,2,1,2,0.5075,0.5067,0.638,0.5,0.5,0.4055,0.5712,0.55,2.5,1.0,31.5,0,Promising Pattern,47.5,Incubate,demand intensity,0.507,revenue potential,0.406,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 47.5/100 with confidence at only 31.5% — demand intensity is the strongest available signal, but revenue potential needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C015,CatalystAI,Financial Services,Forecasting,7,6,5,0.7748,0.6117,0.6632,0.5714,0.75,0.5362,0.4258,0.55,1.0,0.86,100.0,1,Strong Behavioral Pattern,60.8,Reusable Asset,demand intensity,0.775,feasibility,0.426,"Customer engagement is consistent across multiple use cases, making this concept suitable for reuse as a common capability or platform component instead of a standalone product. Readiness score: 60.8/100 (confidence: 100.0%), driven primarily by demand intensity, with feasibility as the weaker area.",offline
C016,MomentumAI,Retail,Risk Scoring,7,5,5,0.4798,0.5007,0.4394,0.5714,0.75,0.4728,0.1996,0.9,3.14,1.29,98.9,1,Strong Behavioral Pattern,44.1,Archive,strategic fit score,0.9,feasibility,0.2,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 44.1/100 (confidence: 98.9%). Even the strongest available signal, strategic fit score, is not enough to outweigh weaknesses such as feasibility. The concept should be archived unless new evidence becomes available.",offline
C017,AnchorAI,Energy,Forecasting,5,4,5,0.3433,0.345,0.2602,0.6,0.75,0.1963,0.9004,0.2,3.0,1.6,92.9,0,Promising Pattern,30.2,Archive,feasibility,0.9,engagement depth,0.26,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 30.2/100 (confidence: 92.9%). Even the strongest available signal, feasibility, is not enough to outweigh weaknesses such as engagement depth. The concept should be archived unless new evidence becomes available.",offline
C018,HorizonAI,Education,Process Automation,4,2,4,0.3389,0.4583,0.4928,0.25,1.0,0.4334,0.4339,0.55,3.25,0.75,60.2,0,Promising Pattern,37.3,Archive,strategic fit score,0.55,engagement depth,0.493,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 37.3/100 (confidence: 60.2%). Even the strongest available signal, strategic fit score, is not enough to outweigh weaknesses such as engagement depth. The concept should be archived unless new evidence becomes available.",offline
C019,VantageAI,Retail,Forecasting,8,8,5,0.6512,0.6529,0.6415,0.375,1.0,0.4779,0.5034,0.55,1.88,1.0,100.0,1,Strong Behavioral Pattern,55.6,Reusable Asset,demand intensity,0.651,feasibility,0.503,"Customer engagement is consistent across multiple use cases, making this concept suitable for reuse as a common capability or platform component instead of a standalone product. Readiness score: 55.6/100 (confidence: 100.0%), driven primarily by demand intensity, with feasibility as the weaker area.",offline
C020,CascadeAI,Logistics,Quality Control,6,2,5,0.4505,0.235,0.315,1.0,0.25,0.3966,0.5548,0.55,2.5,1.17,68.1,0,Promising Pattern,37.6,Archive,demand intensity,0.45,repeatability,0.235,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 37.6/100 (confidence: 68.1%). Even the strongest available signal, demand intensity, is not enough to outweigh weaknesses such as repeatability. The concept should be archived unless new evidence becomes available.",offline
C021,SignalML,Logistics,Process Automation,6,5,5,0.5512,0.648,0.7087,0.5,0.75,0.513,0.2849,0.55,0.67,1.67,100.0,1,Strong Behavioral Pattern,54.1,Incubate,demand intensity,0.551,feasibility,0.285,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 54.1/100 with confidence at only 100.0% — demand intensity is the strongest available signal, but feasibility needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C022,PulseML,Manufacturing,Process Automation,8,7,5,0.3481,0.3676,0.2013,0.5,0.75,0.3994,0.5524,0.55,2.5,0.88,100.0,0,Promising Pattern,35.9,Archive,strategic fit score,0.55,engagement depth,0.201,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 35.9/100 (confidence: 100.0%). Even the strongest available signal, strategic fit score, is not enough to outweigh weaknesses such as engagement depth. The concept should be archived unless new evidence becomes available.",offline
C023,VistaAI,Retail,Anomaly Detection,7,5,5,0.7039,0.346,0.3531,0.5714,1.0,0.5198,0.8999,0.2,0.43,0.57,97.7,0,Promising Pattern,51.8,Incubate,demand intensity,0.704,strategic fit score,0.2,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 51.8/100 with confidence at only 97.7% — demand intensity is the strongest available signal, but strategic fit score needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C024,NexusAI,Healthcare,Fraud Detection,8,8,5,0.3661,0.4383,0.3658,0.25,1.0,0.3308,0.1705,0.55,2.12,0.62,97.7,0,Promising Pattern,34.0,Archive,strategic fit score,0.55,feasibility,0.17,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 34.0/100 (confidence: 97.7%). Even the strongest available signal, strategic fit score, is not enough to outweigh weaknesses such as feasibility. The concept should be archived unless new evidence becomes available.",offline
C025,OrbitAI,Manufacturing,Process Automation,7,7,5,0.7835,0.5557,0.476,0.4286,0.75,0.3777,0.643,0.2,1.43,1.57,99.5,0,Promising Pattern,51.1,Incubate,demand intensity,0.784,strategic fit score,0.2,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 51.1/100 with confidence at only 99.5% — demand intensity is the strongest available signal, but strategic fit score needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C026,BeaconML,Logistics,Process Automation,4,3,4,0.3727,0.4611,0.5262,0.75,0.5,0.4218,0.5175,0.2,1.0,1.0,74.5,0,Promising Pattern,40.7,Archive,demand intensity,0.373,strategic fit score,0.2,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 40.7/100 (confidence: 74.5%). Even the strongest available signal, demand intensity, is not enough to outweigh weaknesses such as strategic fit score. The concept should be archived unless new evidence becomes available.",offline
C027,ForgeML,Insurance,Scheduling Optimization,7,5,5,0.3065,0.5327,0.4414,0.4286,1.0,0.3182,0.8082,0.55,3.0,0.86,100.0,0,Promising Pattern,41.0,Archive,feasibility,0.808,engagement depth,0.441,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 41.0/100 (confidence: 100.0%). Even the strongest available signal, feasibility, is not enough to outweigh weaknesses such as engagement depth. The concept should be archived unless new evidence becomes available.",offline
C028,LumenML,Financial Services,Fraud Detection,7,4,5,0.7923,0.4517,0.5298,0.4286,1.0,0.5858,0.2402,0.9,0.86,0.71,100.0,1,Strong Behavioral Pattern,60.9,Customer Pilot,demand intensity,0.792,feasibility,0.24,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 60.9/100 (confidence: 100.0%), the strongest signal is demand intensity, while feasibility remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
C029,AtlasAI,Logistics,Risk Scoring,4,2,4,0.6019,0.29,0.3632,0.5,0.75,0.4253,0.5412,0.9,3.0,1.5,58.7,0,Promising Pattern,47.1,Incubate,demand intensity,0.602,engagement depth,0.363,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 47.1/100 with confidence at only 58.7% — demand intensity is the strongest available signal, but engagement depth needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C030,CompassAI,Logistics,Scheduling Optimization,5,5,5,0.8857,0.7173,0.6879,0.4,0.75,0.5876,0.2785,0.9,0.6,0.8,98.7,1,Strong Behavioral Pattern,69.9,Reusable Asset,demand intensity,0.886,feasibility,0.278,"Customer engagement is consistent across multiple use cases, making this concept suitable for reuse as a common capability or platform component instead of a standalone product. Readiness score: 69.9/100 (confidence: 98.7%), driven primarily by demand intensity, with feasibility as the weaker area.",offline
C031,PrismAI,Education,Anomaly Detection,4,4,4,0.4616,0.4483,0.3371,0.5,0.75,0.3496,0.569,0.2,2.5,0.75,90.5,0,Promising Pattern,35.3,Archive,demand intensity,0.462,strategic fit score,0.2,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 35.3/100 (confidence: 90.5%). Even the strongest available signal, demand intensity, is not enough to outweigh weaknesses such as strategic fit score. The concept should be archived unless new evidence becomes available.",offline
C032,FluxML,Education,Anomaly Detection,8,3,5,0.8459,0.3656,0.6904,0.375,0.75,0.4998,0.3392,0.55,0.5,1.0,91.3,1,Strong Behavioral Pattern,57.0,Customer Pilot,demand intensity,0.846,feasibility,0.339,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 57.0/100 (confidence: 91.3%), the strongest signal is demand intensity, while feasibility remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
C033,SentryML,Education,Personalization,2,1,2,0.4361,0.1733,0.222,0.5,0.5,0.4114,0.274,0.9,0.5,0.5,25.2,0,Promising Pattern,41.5,Incubate,strategic fit score,0.9,engagement depth,0.222,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 41.5/100 with confidence at only 25.2% — strategic fit score is the strongest available signal, but engagement depth needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C034,HarborML,Retail,Fraud Detection,2,1,2,0.5436,0.2867,0.4357,0.5,0.5,0.3595,0.868,0.9,2.5,1.0,28.4,0,Promising Pattern,51.4,Incubate,strategic fit score,0.9,repeatability,0.287,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 51.4/100 with confidence at only 28.4% — strategic fit score is the strongest available signal, but repeatability needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C035,CatalystML,Logistics,Scheduling Optimization,4,1,4,0.6808,0.52,0.584,0.5,0.75,0.5311,0.8199,0.9,1.25,1.5,46.5,1,Strong Behavioral Pattern,66.4,Customer Pilot,demand intensity,0.681,engagement depth,0.584,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 66.4/100 (confidence: 46.5%), the strongest signal is demand intensity, while engagement depth remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
C036,MomentumML,Insurance,Risk Scoring,8,8,5,0.3292,0.7196,0.5772,0.375,0.75,0.3391,0.7454,0.2,4.12,1.12,98.2,0,Promising Pattern,36.7,Archive,repeatability,0.72,strategic fit score,0.2,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 36.7/100 (confidence: 98.2%). Even the strongest available signal, repeatability, is not enough to outweigh weaknesses such as strategic fit score. The concept should be archived unless new evidence becomes available.",offline
C037,AnchorML,Insurance,Scheduling Optimization,8,6,5,0.3396,0.6872,0.4722,0.5,0.75,0.36,0.877,0.55,3.12,1.12,99.7,0,Promising Pattern,46.0,Incubate,feasibility,0.877,engagement depth,0.472,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 46.0/100 with confidence at only 99.7% — feasibility is the strongest available signal, but engagement depth needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C038,HorizonML,Healthcare,Scheduling Optimization,4,2,4,0.8935,0.385,0.7062,0.5,0.5,0.4041,0.2465,0.55,0.25,2.0,59.7,1,Strong Behavioral Pattern,55.6,Customer Pilot,demand intensity,0.894,feasibility,0.246,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 55.6/100 (confidence: 59.7%), the strongest signal is demand intensity, while feasibility remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
C039,VantageML,Energy,Personalization,6,5,5,0.4415,0.4977,0.4382,0.5,0.75,0.3719,0.6558,0.55,1.83,1.33,100.0,0,Promising Pattern,46.0,Incubate,demand intensity,0.442,engagement depth,0.438,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 46.0/100 with confidence at only 100.0% — demand intensity is the strongest available signal, but engagement depth needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C040,CascadeML,Education,Anomaly Detection,6,4,5,0.6043,0.5517,0.6469,0.6667,0.5,0.4656,0.4396,0.9,1.5,1.67,100.0,1,Strong Behavioral Pattern,58.5,Reusable Asset,demand intensity,0.604,feasibility,0.44,"Customer engagement is consistent across multiple use cases, making this concept suitable for reuse as a common capability or platform component instead of a standalone product. Readiness score: 58.5/100 (confidence: 100.0%), driven primarily by demand intensity, with feasibility as the weaker area.",offline
